"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"1","CORRIENTES, AR",1980-01-01,0,22,NA,13
"2","CORRIENTES, AR",1980-01-02,0,24,NA,14
"3","CORRIENTES, AR",1980-01-03,0,25.7,NA,14
"4","CORRIENTES, AR",1980-01-04,NA,28.1,NA,NA
"5","CORRIENTES, AR",1980-01-05,NA,24.3,33,NA
"6","CORRIENTES, AR",1980-01-06,5.1,27.7,NA,20
"7","CORRIENTES, AR",1980-01-07,0,27.7,34,NA
"8","CORRIENTES, AR",1980-01-08,39.1,25.7,34,18
"9","CORRIENTES, AR",1980-01-09,0,27.6,NA,NA
"10","CORRIENTES, AR",1980-01-10,0,27.9,33,20
"11","CORRIENTES, AR",1980-01-11,0,29.1,NA,21
"12","CORRIENTES, AR",1980-01-12,0,29.2,NA,22
"13","CORRIENTES, AR",1980-01-13,0,28.7,34,21
"14","CORRIENTES, AR",1980-01-14,0,28.4,34,21
"15","CORRIENTES, AR",1980-01-15,0,27.7,NA,21
"16","CORRIENTES, AR",1980-01-16,3,27.7,34,20
"17","CORRIENTES, AR",1980-01-17,0,31.1,NA,21
"18","CORRIENTES, AR",1980-01-18,0,30.8,NA,22
"19","CORRIENTES, AR",1980-01-19,NA,29.6,NA,NA
"20","CORRIENTES, AR",1980-01-20,0,29.6,36,19
"21","CORRIENTES, AR",1980-01-21,NA,28.7,35,NA
"22","CORRIENTES, AR",1980-01-22,NA,33.2,NA,22
"23","CORRIENTES, AR",1980-01-23,0,24.2,38,NA
"24","CORRIENTES, AR",1980-01-24,49,25.2,NA,20
"25","CORRIENTES, AR",1980-01-25,0,24.8,30,16
"26","CORRIENTES, AR",1980-01-26,0,26.7,NA,16
"27","CORRIENTES, AR",1980-01-27,0,28.3,NA,NA
"28","CORRIENTES, AR",1980-01-28,0,27.8,32,18
"29","CORRIENTES, AR",1980-01-29,NA,29,NA,NA
"30","CORRIENTES, AR",1980-01-30,0,27.3,NA,20
"31","CORRIENTES, AR",1980-01-31,0,28.1,NA,20
"32","CORRIENTES, AR",1980-02-01,0,26.8,34,18
"33","CORRIENTES, AR",1980-02-02,0,27.7,NA,18
"34","CORRIENTES, AR",1980-02-03,0,30.1,NA,18
"35","CORRIENTES, AR",1980-02-04,0,30.5,37,24
"36","CORRIENTES, AR",1980-02-05,0.3,25.4,34,20
"37","CORRIENTES, AR",1980-02-06,0,23,NA,17
"38","CORRIENTES, AR",1980-02-07,0,29,33,18
"39","CORRIENTES, AR",1980-02-08,0,29,34,19
"40","CORRIENTES, AR",1980-02-09,NA,30.4,NA,NA
"41","CORRIENTES, AR",1980-02-10,32,25.1,36,17
"42","CORRIENTES, AR",1980-02-11,0,24.2,NA,16
"43","CORRIENTES, AR",1980-02-12,NA,27.7,NA,NA
"44","CORRIENTES, AR",1980-02-13,0,30.1,NA,20
"45","CORRIENTES, AR",1980-02-14,0,29.7,NA,21
"46","CORRIENTES, AR",1980-02-15,0,31.3,37,24
"47","CORRIENTES, AR",1980-02-16,0,28.2,36,22
"48","CORRIENTES, AR",1980-02-17,13,25.7,34,21
"49","CORRIENTES, AR",1980-02-18,3,26.1,NA,20
"50","CORRIENTES, AR",1980-02-19,0,23.8,31,17
"51","CORRIENTES, AR",1980-02-20,NA,25.8,NA,NA
"52","CORRIENTES, AR",1980-02-21,0,27.1,32,20
"53","CORRIENTES, AR",1980-02-22,NA,28.3,NA,NA
"54","CORRIENTES, AR",1980-02-23,0,30.1,NA,21
"55","CORRIENTES, AR",1980-02-24,17,23.7,36,18
"56","CORRIENTES, AR",1980-02-25,39.1,22.8,26,20
"57","CORRIENTES, AR",1980-02-26,0,28.4,NA,20
"58","CORRIENTES, AR",1980-02-27,0,24.3,32,11
